Choice Taxi Association,10.0,50.0
Chicago Independents,54.0,21.88
Sun Taxi,73.25,22.95
Chicago Independents,29.25,26.0
Chicago Independents,82.0,26.2
Sun Taxi,68.25,22.28
Flash Cab,50.0,20.38
Taxi Affiliation Services,16.75,25.0
"Taxicab Insurance Agency, LLC",19.0,23.5
Blue Ribbon Taxi Association Inc.,87.25,26.55
Flash Cab,135.0,22.42
Blue Ribbon Taxi Association Inc.,101.0,32.3
City Service,75.5,20.88
Taxi Affiliation Services,34.25,36.0
Blue Ribbon Taxi Association Inc.,62.5,20.25
Top Cab Affiliation,22.25,30.0
Sun Taxi,76.5,21.0
City Service,49.0,30.0
Flash Cab,47.0,25.0
Taxi Affiliation Services,67.5,21.55
Taxi Affiliation Services,48.0,50.0
Flash Cab,155.5,39.0
Taxi Affiliation Services,158.0,32.5
Globe Taxi,65.75,35.0
Top Cab Affiliation,10.25,30.0
Taxi Affiliation Services,47.75,30.0
Chicago Independents,44.25,40.0
Flash Cab,46.0,50.0
Chicago Independents,46.5,25.0
City Service,50.0,25.0
Flash Cab,90.0,22.62
Taxi Affiliation Services,6.5,25.0
Top Cab Affiliation,16.5,30.0
Flash Cab,97.0,46.0
Taxi Affiliation Services,47.25,20.08
Choice Taxi Association,45.5,30.0
Chicago Independents,42.25,30.0
Flash Cab,44.0,25.0
Taxi Affiliation Services,5.0,50.0
"Taxicab Insurance Agency, LLC",44.5,21.0
Flash Cab,42.5,25.0
Taxi Affiliation Services,3.25,30.2
Taxi Affiliation Services,34.5,50.0
Taxi Affiliation Services,13.0,50.0
Top Cab Affiliation,19.25,30.0
Choice Taxi Association,44.75,30.0
24 Seven Taxi,51.25,25.0
Globe Taxi,92.5,20.9
Taxi Affiliation Services,97.0,20.5
Flash Cab,3.25,25.0
Taxi Affiliation Services,14.0,22.8
Sun Taxi,81.0,21.5
Taxi Affiliation Services,6.5,50.0
Taxi Affiliation Services,60.5,25.0
"Taxicab Insurance Agency, LLC",39.0,30.0
Blue Ribbon Taxi Association Inc.,3.5,32.68
Taxi Affiliation Services,34.25,25.0
Flash Cab,94.0,23.62
Taxi Affiliation Services,13.0,50.0
"Taxicab Insurance Agency, LLC",15.0,30.0
Taxi Affiliation Services,24.75,50.0
Flash Cab,44.25,22.0
Top Cab Affiliation,18.5,25.0
Taxi Affiliation Services,15.0,45.0
Taxi Affiliation Services,12.5,50.0
Taxi Affiliation Services,78.5,20.75
"Taxicab Insurance Agency, LLC",78.5,26.25
Flash Cab,29.25,30.0
Chicago Independents,34.75,25.0
Flash Cab,57.75,25.0
Taxi Affiliation Services,12.5,50.0
24 Seven Taxi,100.0,20.2
Flash Cab,100.0,26.12
Setare Inc,37.25,30.0
Sun Taxi,73.25,20.56
Medallion Leasin,110.0,22.2
Taxi Affiliation Services,62.25,30.0
City Service,4.0,21.0
Flash Cab,77.25,21.56
Chicago Independents,98.5,50.0
Taxi Affiliation Services,60.5,27.55
Taxi Affiliation Services,46.0,40.0
Globe Taxi,45.5,20.22
Taxi Affiliation Services,56.25,30.0
Taxi Affiliation Services,64.75,25.0
Chicago Independents,45.5,25.0
Taxi Affiliation Services,43.75,30.0
Taxi Affiliation Services,42.0,25.0
KOAM Taxi Association,47.0,25.0
Flash Cab,65.25,22.0
Taxicab Insurance Agency Llc,73.5,20.62
Taxi Affiliation Services,3.25,25.0
Globe Taxi,47.25,50.0
"Taxicab Insurance Agency, LLC",16.5,100.0
Choice Taxi Association,102.0,31.5
Sun Taxi,96.0,38.25
Sun Taxi,62.0,20.2
Medallion Leasin,45.0,35.0
Flash Cab,100.0,20.1
Sun Taxi,51.75,21.19
Sun Taxi,69.75,29.44
Blue Ribbon Taxi Association,82.25,40.0
"Taxicab Insurance Agency, LLC",63.5,20.2
Sun Taxi,55.5,33.0
Sun Taxi,72.25,21.45
Taxi Affiliation Services,69.75,28.55
Taxi Affiliation Services,89.5,29.2
City Service,82.0,29.2
Medallion Leasin,65.5,21.8
Taxi Affiliation Services,63.0,23.0
Taxi Affiliation Services,84.0,26.9
Taxi Affiliation Services,89.25,29.95
Chicago Independents,67.75,22.65
Flash Cab,67.25,22.95
Chicago Independents,78.0,24.9
Taxi Affiliation Services,88.25,27.95
Taxi Affiliation Services,69.25,25.9
Chicago Independents,76.25,24.45
City Service,71.75,22.55
Chicago Independents,50.75,21.06
Taxi Affiliation Services,61.0,22.8
City Service,51.75,21.06
Taxi Affiliation Services,102.25,35.25
Taxi Affiliation Services,75.25,21.15
Sun Taxi,42.75,20.75
City Service,58.75,23.56
Chicago Independents,3.25,25.0
Top Cab Affiliation,25.25,21.17
Sun Taxi,80.0,24.15
Taxi Affiliation Services,4.5,30.0
Taxi Affiliation Services,65.75,21.8
Taxi Affiliation Services,3.25,60.0
City Service,43.25,40.0
Chicago Independents,67.25,26.94
Taxi Affiliation Services,13.5,30.0
Taxi Affiliation Services,5.5,50.0
"Taxicab Insurance Agency, LLC",42.25,30.0
Sun Taxi,41.75,40.0
5 Star Taxi,200.0,40.1
Taxi Affiliation Services,44.25,25.0
Chicago Independents,3.5,20.7
Sun Taxi,78.0,34.8
City Service,44.25,25.0
Taxi Affiliation Services,0.0,30.0
Medallion Leasin,47.0,40.0
Flash Cab,105.0,21.9
Flash Cab,74.25,30.15
Sun Taxi,49.5,23.88
Flash Cab,136.75,28.55
Sun Taxi,100.0,20.2
Chicago Independents,130.0,26.1
Top Cab Affiliation,84.25,25.75
Chicago Independents,45.25,21.68
Chicago Independents,66.0,75.0
Chicago Independents,64.25,20.78
Sun Taxi,71.75,22.85
Chicago Independents,3.25,20.19
Sun Taxi,65.75,27.19
Flash Cab,70.75,22.45
"Taxicab Insurance Agency, LLC",3.25,41.0
Chicago Independents,130.0,27.8
City Service,71.0,40.0
Flash Cab,41.25,30.0
City Service,71.75,28.69
City Service,339.75,44.12
Flash Cab,120.0,26.2
Flash Cab,54.25,21.44
"Taxicab Insurance Agency, LLC",3.25,67.25
Medallion Leasin,70.75,27.81
City Service,78.5,25.95
Flash Cab,93.0,37.12
Sun Taxi,48.75,24.08
Chicago Independents,71.0,23.0
City Service,63.75,20.15
Flash Cab,70.5,22.2
Flash Cab,100.0,24.22
City Service,75.0,20.25
Taxi Affiliation Services,143.75,25.0
Chicago Independents,3.5,31.05
"Taxicab Insurance Agency, LLC",150.25,45.15
Top Cab Affiliation,44.75,25.0
Flash Cab,58.25,23.94
Sun Taxi,65.25,21.55
City Service,91.75,29.25
Sun Taxi,59.25,22.44
Sun Taxi,75.5,29.5
City Service,100.0,25.12
Globe Taxi,150.0,22.58
Sun Taxi,32.0,23.0
Flash Cab,83.75,21.19
Sun Taxi,39.5,20.88
"Taxicab Insurance Agency, LLC",3.25,28.25
"Taxicab Insurance Agency, LLC",85.25,39.5
Taxi Affiliation Services,3.25,65.8
Medallion Leasin,3.5,20.2
Sun Taxi,70.75,22.15
Sun Taxi,66.25,26.31
City Service,123.0,24.8
24 Seven Taxi,89.5,36.2
Taxi Affiliation Services,65.0,20.1
Flash Cab,92.75,32.65
Sun Taxi,110.5,30.4
Sun Taxi,84.25,27.05
Taxi Affiliation Services,29.25,30.0
Taxi Affiliation Services,84.0,34.35
Taxi Affiliation Services,74.75,21.45
Taxi Affiliation Services,82.75,23.05
Taxi Affiliation Services,296.25,75.15
Flash Cab,52.0,30.0
Globe Taxi,72.5,29.85
Star North Taxi Management Llc,100.0,31.0
Taxi Affiliation Services,56.5,38.0
Medallion Leasin,74.0,36.15
Taxi Affiliation Services,93.5,26.2
Taxi Affiliation Services,85.5,27.25
Taxi Affiliation Services,68.25,22.75
Chicago Independents,74.0,24.15
"Taxicab Insurance Agency, LLC",65.75,22.05
Taxi Affiliation Services,74.25,20.65
Flash Cab,89.25,42.0
Chicago Independents,78.5,24.4
Sun Taxi,253.5,70.9
"Taxicab Insurance Agency, LLC",54.5,22.35
Chicago Independents,57.75,23.31
Sun Taxi,67.0,21.7
Globe Taxi,67.25,26.19
312 Medallion Management Corp,98.5,31.3
Globe Taxi,58.75,30.0
Sun Taxi,70.25,22.85
City Service,70.5,21.7
City Service,65.5,25.12
Sun Taxi,70.0,27.5
Medallion Leasin,63.75,21.15
Chicago Independents,56.75,23.44
Flash Cab,79.5,25.2
Taxi Affiliation Services,49.75,20.65
City Service,63.25,20.35
Sun Taxi,71.75,23.45
Sun Taxi,58.25,24.56
Top Cab Affiliation,85.75,27.05
City Service,69.75,20.25
City Service,65.75,26.19
City Service,45.75,22.58
"Taxicab Insurance Agency, LLC",67.25,22.4
Sun Taxi,84.75,27.25
City Service,62.25,25.19
Flash Cab,166.75,51.65
Chicago Independents,55.5,22.5
Patriot Taxi Dba Peace Taxi Associat,62.5,25.38
Sun Taxi,74.25,24.15
Taxi Affiliation Services,69.75,23.45
"Taxicab Insurance Agency, LLC",67.25,28.65
City Service,73.0,29.0
Globe Taxi,67.5,22.6
Sun Taxi,68.5,22.2
Flash Cab,83.5,20.1
Taxi Affiliation Services,68.5,22.0
Chicago Independents,64.0,21.9
"Taxicab Insurance Agency, LLC",69.75,22.25
Flash Cab,33.5,21.0
Globe Taxi,63.25,25.69
Taxi Affiliation Services,126.25,50.0
Globe Taxi,90.0,29.1
"Taxicab Insurance Agency, LLC",83.25,26.75
Taxi Affiliation Services,56.75,22.05
Flash Cab,53.5,22.12
Flash Cab,171.25,51.35
Taxi Affiliation Services,65.5,21.5
Sun Taxi,77.25,24.85
Sun Taxi,81.0,25.6
Chicago Independents,47.25,22.7
"Taxicab Insurance Agency, LLC",55.25,22.65
"Taxicab Insurance Agency, LLC",49.5,24.5
Flash Cab,145.0,24.82
4053 - 40193 Adwar H. Nikola,66.5,21.2
Globe Taxi,70.5,24.7
Flash Cab,68.75,28.81
City Service,102.5,33.5
"Taxicab Insurance Agency, LLC",65.5,20.9
"Taxicab Insurance Agency, LLC",70.75,22.75
"Taxicab Insurance Agency, LLC",71.0,22.9
Flash Cab,57.5,28.8
Globe Taxi,64.25,20.85
312 Medallion Management Corp,72.5,23.0
Top Cab Affiliation,69.5,22.55
City Service,71.0,22.5
City Service,59.5,24.62
U Taxicab,72.75,22.65
"Taxicab Insurance Agency, LLC",54.75,27.1
Chicago Independents,52.75,21.06
Sun Taxi,78.0,31.0
City Service,63.5,23.0
Taxi Affiliation Services,74.25,23.75
Blue Ribbon Taxi Association Inc.,77.0,23.1
Taxi Affiliation Services,68.5,21.4
City Service,43.0,21.15
U Taxicab,83.5,26.1
Sun Taxi,68.25,21.45
Taxi Affiliation Services,65.75,20.65
Globe Taxi,53.25,21.66
Chicago Independents,123.5,39.2
Sun Taxi,71.75,22.45
Sun Taxi,49.5,21.62
