Sun Taxi,150.75,47.18
Top Cab Affiliation,79.5,25.5
Sun Taxi,49.75,20.56
Sun Taxi,50.5,24.75
Taxi Affiliation Services,49.75,20.9
Star North Taxi Management Llc,85.25,26.95
Top Cab Affiliation,83.25,40.0
Flash Cab,79.25,25.35
City Service,47.5,20.25
City Service,84.0,21.12
Flash Cab,99.75,23.44
City Service,63.5,20.6
City Service,60.25,30.0
Medallion Leasin,99.0,30.0
Star North Taxi Management Llc,74.25,27.81
City Service,90.75,27.75
Taxi Affiliation Services,71.5,22.7
Medallion Leasin,106.75,24.79
Sun Taxi,79.0,24.9
Medallion Leasin,75.0,23.6
"Taxicab Insurance Agency, LLC",79.25,22.4
"Taxicab Insurance Agency, LLC",106.0,35.1
Taxi Affiliation Services,109.5,43.6
Taxi Affiliation Services,64.5,20.5
City Service,64.5,21.0
Chicago Independents,65.25,21.15
Taxi Affiliation Services,114.5,36.35
Sun Taxi,87.0,26.2
Taxicab Insurance Agency Llc,66.5,21.1
Flash Cab,91.25,28.55
Sun Taxi,45.0,22.5
Choice Taxi Association,107.25,34.1
Flash Cab,73.75,23.48
City Service,90.0,24.12
Taxi Affiliation Services,177.0,25.0
Taxicab Insurance Agency Llc,46.0,40.0
Taxi Affiliation Services,3.25,60.0
Taxi Affiliation Services,6.25,50.0
Taxi Affiliation Services,13.0,50.0
Taxi Affiliation Services,15.0,50.0
Sun Taxi,119.75,37.42
Flash Cab,74.25,21.81
Taxi Affiliation Services,55.0,33.0
Chicago Independents,40.0,25.0
Chicago Independents,66.25,21.85
"Taxicab Insurance Agency, LLC",65.75,20.5
Taxi Affiliation Services,107.0,20.8
City Service,61.25,20.05
City Service,78.0,25.3
Sun Taxi,67.75,21.55
Taxicab Insurance Agency Llc,3.5,100.0
Medallion Leasin,3.5,100.0
5 Star Taxi,66.5,21.2
Flash Cab,88.25,35.81
Sun Taxi,114.25,23.0
Sun Taxi,74.5,23.5
City Service,60.25,20.45
Chicago Independents,82.75,28.05
Taxi Affiliation Services,79.5,21.0
Top Cab Affiliation,75.0,20.1
City Service,79.75,24.25
