0.0,132475
0.01,1901
0.02,1374
0.03,1036
0.04,845
0.05,659
0.06,550
0.07,478
0.08,393
0.09,365
0.1,12131
0.11,326
0.12,293
0.13,326
0.14,298
0.15,243
0.16,239
0.17,269
0.18,259
0.19,262
0.2,6646
0.21,267
0.22,283
0.23,299
0.24,305
0.25,290
0.26,330
0.27,324
0.28,329
0.29,325
0.3,6063
0.31,397
0.32,385
0.33,382
0.34,428
0.35,450
0.36,492
0.37,487
0.38,486
0.39,502
0.4,7217
0.41,572
0.42,596
0.43,594
0.44,642
0.45,642
0.46,706
0.47,705
0.48,765
0.49,748
0.5,9279
0.51,811
0.52,811
0.53,869
0.54,895
0.55,916
0.56,964
0.57,889
0.58,963
0.59,916
0.6,11694
0.61,1066
0.62,1020
0.63,1068
0.64,1056
0.65,1081
0.66,1138
0.67,1046
0.68,1136
0.69,1085
0.7,11541
0.71,1167
0.72,1124
0.73,1081
0.74,1208
0.75,1187
0.76,1303
0.77,1215
0.78,1250
0.79,1202
0.8,10802
0.81,1187
0.82,1283
0.83,1263
0.84,1288
0.85,1255
0.86,1269
0.87,1241
0.88,1277
0.89,1210
0.9,9817
0.91,1219
0.92,1136
0.93,1251
0.94,1283
0.95,1253
0.96,1268
0.97,1234
0.98,1236
0.99,1245
1.0,12332
1.01,1340
1.02,1377
1.03,1260
1.04,1379
1.05,1261
1.06,1276
1.07,1246
1.08,1290
1.09,1253
1.1,9921
1.11,1179
1.12,1227
1.13,1226
1.14,1266
1.15,1226
1.16,1262
1.17,1162
1.18,1232
1.19,1202
1.2,7819
1.21,1200
1.22,1232
1.23,1208
1.24,1279
1.25,1164
1.26,1147
1.27,1133
1.28,1213
1.29,1062
1.3,6986
1.31,1146
1.32,1127
1.33,1120
1.34,1117
1.35,1104
1.36,1096
1.37,1060
1.38,1051
1.39,1028
1.4,6091
1.41,997
1.42,1023
1.43,966
1.44,1070
1.45,1043
1.46,1053
1.47,1044
1.48,981
1.49,1041
1.5,5948
1.51,1021
1.52,986
1.53,949
1.54,994
1.55,1013
1.56,1023
1.57,1005
1.58,1039
1.59,998
1.6,5403
1.61,988
1.62,996
1.63,991
1.64,938
1.65,951
1.66,937
1.67,852
1.68,955
1.69,920
1.7,5354
1.71,966
1.72,945
1.73,843
1.74,947
1.75,910
1.76,922
1.77,907
1.78,883
1.79,892
1.8,4978
1.81,833
1.82,853
1.83,884
1.84,889
1.85,859
1.86,863
1.87,844
1.88,821
1.89,786
1.9,4309
1.91,823
1.92,807
1.93,774
1.94,776
1.95,732
1.96,737
1.97,768
1.98,736
1.99,782
2.0,4021
2.01,773
2.02,719
2.03,697
2.04,733
2.05,730
2.06,748
2.07,731
2.08,754
2.09,717
2.1,3558
2.11,672
2.12,688
2.13,632
2.14,712
2.15,638
2.16,635
2.17,623
2.18,625
2.19,650
2.2,3208
2.21,623
2.22,591
2.23,577
2.24,633
2.25,589
2.26,586
2.27,578
2.28,579
2.29,592
2.3,2767
2.31,594
2.32,578
2.33,559
2.34,570
2.35,532
2.36,588
2.37,531
2.38,537
2.39,515
2.4,2635
2.41,538
2.42,573
2.43,546
2.44,550
2.45,523
2.46,513
2.47,509
2.48,550
2.49,480
2.5,2581
2.51,498
2.52,495
2.53,500
2.54,514
